sim_id,buyer_value,seller_cost,zopa,fair_price,deal_reached,deal_price,human_earnings,ai_earnings,rounds_to_deal,first_buyer_offer,ai_first_counter,surplus_captured,buyer_surplus_share,checker_passed,checker_arithmetic,checker_ai_quality
2026-02-17_22-07-19_sim1,70,30,40,50.0,1,50.0,20.0,20.0,5,50.0,,40.0,0.5,1,1,1
2026-02-17_22-07-19_sim10,70,20,50,45.0,1,66.0,4.0,46.0,3,60.0,68.0,50.0,0.08,1,1,1
2026-02-17_22-07-19_sim11,90,30,60,60.0,1,50.0,30.0,30.0,4,50.0,60.0,60.0,0.5,1,1,1
2026-02-17_22-07-19_sim12,70,50,20,60.0,1,50.01,19.99,0.01,5,50.0,60.0,20.0,0.9994999999999999,1,1,1
2026-02-17_22-07-19_sim13,60,30,30,45.0,1,50.0,10.0,20.0,5,40.0,55.0,30.0,0.3333333333333333,0,1,1
2026-02-17_22-07-19_sim14,60,20,40,40.0,1,50.01,9.99,30.01,1,,,40.0,0.24975,1,1,1
2026-02-17_22-07-19_sim15,80,40,40,60.0,1,60.0,20.0,20.0,5,50.0,62.0,40.0,0.5,1,1,1
2026-02-17_22-07-19_sim16,70,40,30,55.0,1,60.0,10.0,20.0,2,50.0,60.0,30.0,0.3333333333333333,1,1,1
2026-02-17_22-07-19_sim17,90,40,50,65.0,1,50.0,40.0,10.0,5,50.01,65.0,50.0,0.8,1,1,1
2026-02-17_22-07-19_sim18,70,20,50,45.0,1,60.0,10.0,40.0,2,50.0,60.0,50.0,0.2,1,1,1
2026-02-17_22-07-19_sim19,90,20,70,55.0,1,50.0,40.0,30.0,5,50.0,60.0,70.0,0.5714285714285714,1,1,1
2026-02-17_22-07-19_sim2,70,50,20,60.0,1,50.0,20.0,0.0,5,50.0,60.0,20.0,1.0,1,1,1
2026-02-17_22-07-19_sim20,70,30,40,50.0,1,50.0,20.0,20.0,5,50.0,,40.0,0.5,1,1,1
2026-02-17_22-07-19_sim3,70,20,50,45.0,1,65.0,5.0,45.0,5,60.0,65.0,50.0,0.1,1,1,1
2026-02-17_22-07-19_sim4,60,30,30,45.0,1,50.0,10.0,20.0,5,,50.0,30.0,0.3333333333333333,1,1,1
2026-02-17_22-07-19_sim5,70,30,40,50.0,1,58.0,12.0,28.0,5,40.0,58.0,40.0,0.3,1,1,1
2026-02-17_22-07-19_sim6,80,40,40,60.0,1,50.0,30.0,10.0,5,,62.0,40.0,0.75,1,1,1
2026-02-17_22-07-19_sim7,80,20,60,50.0,1,65.0,15.0,45.0,5,,70.0,60.0,0.25,1,1,1
2026-02-17_22-07-19_sim8,60,20,40,40.0,1,50.0,10.0,30.0,5,50.0,,40.0,0.25,1,1,1
2026-02-17_22-07-19_sim9,90,20,70,55.0,1,58.0,32.0,38.0,4,50.0,60.0,70.0,0.45714285714285713,1,1,1
