experiment_name,condition_id,condition_short,session_id,seed,communication,value_gap,info_asymmetry,buyer_wtp,seller_wta,gains_from_trade,feasible,deal,final_price,surplus_captured,price_split_ratio,rounds_to_agreement,bargain_rounds_played,buyer_earnings,seller_earnings,n_comm_messages,n_value_signals,guardrail_triggered
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s0,1001,none,narrow,two_sided_private,11.19,6.23,4.96,1,1,10.75,1.0,0.9113,4,4,0.44,4.52,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s1,1002,none,narrow,two_sided_private,10.08,7.69,2.39,1,1,9.0,1.0,0.5481,4,4,1.08,1.31,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s2,1003,none,narrow,two_sided_private,9.99,7.44,2.55,1,1,9.5,1.0,0.8078,4,4,0.49,2.06,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s3,1004,none,narrow,two_sided_private,9.68,9.9,-0.22,0,0,,,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s4,1005,none,narrow,two_sided_private,9.93,9.61,0.32,1,1,9.75,1.0,0.4375,4,4,0.18,0.14,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s5,1006,none,narrow,two_sided_private,9.39,6.91,2.48,1,1,8.75,1.0,0.7419,4,4,0.64,1.84,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s6,1007,none,narrow,two_sided_private,11.42,9.2,2.22,1,1,10.5,1.0,0.5856,4,4,0.92,1.3,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s7,1008,none,narrow,two_sided_private,10.08,9.83,0.25,1,1,9.75,1.0,-0.32,4,4,0.33,-0.08,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s8,1009,none,narrow,two_sided_private,8.72,7.95,0.77,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s9,1010,none,narrow,two_sided_private,10.68,9.43,1.25,1,1,10.5,1.0,0.856,4,4,0.18,1.07,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s10,1011,none,narrow,two_sided_private,9.47,6.12,3.35,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s11,1012,none,narrow,two_sided_private,9.35,6.58,2.77,1,1,8.75,1.0,0.7834,4,4,0.6,2.17,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s12,1013,none,narrow,two_sided_private,11.62,9.06,2.56,1,1,9.75,1.0,0.2695,4,4,1.87,0.69,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s13,1014,none,narrow,two_sided_private,10.06,6.96,3.1,1,1,9.5,1.0,0.8194,4,4,0.56,2.54,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s14,1015,none,narrow,two_sided_private,8.42,7.2,1.22,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s15,1016,none,narrow,two_sided_private,9.46,7.56,1.9,1,1,8.75,1.0,0.6263,4,4,0.71,1.19,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s16,1017,none,narrow,two_sided_private,9.93,8.54,1.39,1,1,8.9,1.0,0.259,4,4,1.03,0.36,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s17,1018,none,narrow,two_sided_private,9.58,9.08,0.5,1,1,9.5,1.0,0.84,4,4,0.08,0.42,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s18,1019,none,narrow,two_sided_private,8.14,6.86,1.28,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s19,1020,none,narrow,two_sided_private,8.45,7.85,0.6,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s20,1021,none,narrow,two_sided_private,10.12,6.71,3.41,1,1,10.0,1.0,0.9648,4,4,0.12,3.29,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s21,1022,none,narrow,two_sided_private,8.53,9.72,-1.19,0,0,,,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s22,1023,none,narrow,two_sided_private,9.95,7.81,2.14,1,1,9.0,1.0,0.5561,4,4,0.95,1.19,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s23,1024,none,narrow,two_sided_private,11.19,7.93,3.26,1,1,9.5,1.0,0.4816,4,4,1.69,1.57,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s24,1025,none,narrow,two_sided_private,8.84,6.18,2.66,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s25,1026,none,narrow,two_sided_private,8.1,7.9,0.2,1,0,,0.0,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s26,1027,none,narrow,two_sided_private,8.08,9.63,-1.55,0,0,,,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s27,1028,none,narrow,two_sided_private,9.85,7.57,2.28,1,1,8.5,1.0,0.4079,4,4,1.35,0.93,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s28,1029,none,narrow,two_sided_private,10.42,8.81,1.61,1,1,10.0,1.0,0.7391,4,4,0.42,1.19,0,0,0
mug_bargain_cheap_talk,C01_none_narrow_twosided,C01,C01_s29,1030,none,narrow,two_sided_private,11.83,7.7,4.13,1,1,11.0,1.0,0.799,4,4,0.83,3.3,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s0,2001,none,narrow,one_sided_buyer_known,10.35,7.45,2.9,1,1,8.75,1.0,0.4483,4,4,1.6,1.3,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s1,2002,none,narrow,one_sided_buyer_known,10.91,8.0,2.91,1,1,9.75,1.0,0.6014,4,4,1.16,1.75,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s2,2003,none,narrow,one_sided_buyer_known,8.45,9.86,-1.41,0,0,,,,,4,0.0,0.0,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s3,2004,none,narrow,one_sided_buyer_known,10.1,9.16,0.94,1,1,9.5,1.0,0.3617,4,4,0.6,0.34,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s4,2005,none,narrow,one_sided_buyer_known,9.8,6.31,3.49,1,1,8.75,1.0,0.6991,4,4,1.05,2.44,0,0,0
mug_bargain_cheap_talk,C02_none_narrow_onesided,C02,C02_s5,2006,none,narrow,one_sided_buyer_known,10.22,6.28,3.94,1,1,9.0,1.0,0.6904,4,4,1.22,2.72,0,0,0
