condition_id,communication,value_gap,info_asymmetry,n_reps,randomization_notes,holdout
C01_none_narrow_twosided,none,narrow,two_sided_private,30,seed=1001-1030,0
C02_none_narrow_onesided,none,narrow,one_sided_buyer_known,30,seed=2001-2030,0
C03_none_wide_twosided,none,wide,two_sided_private,30,seed=3001-3030,0
C04_none_wide_onesided,none,wide,one_sided_buyer_known,30,seed=4001-4030,0
C05_talk1_narrow_twosided,cheap_talk,narrow,two_sided_private,30,seed=5001-5030,0
C06_talk1_narrow_onesided,cheap_talk,narrow,one_sided_buyer_known,30,seed=6001-6030,0
C07_talk1_wide_twosided,cheap_talk,wide,two_sided_private,30,seed=7001-7030,0
C08_talk1_wide_onesided,cheap_talk,wide,one_sided_buyer_known,30,seed=8001-8030,0
C09_ext_narrow_twosided,extended_talk,narrow,two_sided_private,30,seed=9001-9030,0
C10_ext_narrow_onesided,extended_talk,narrow,one_sided_buyer_known,30,seed=10001-10030,1
C11_ext_wide_twosided,extended_talk,wide,two_sided_private,30,seed=11001-11030,0
C12_ext_wide_onesided,extended_talk,wide,one_sided_buyer_known,30,seed=12001-12030,1
