condition,sim_id,a_total_earnings,b_total_earnings,joint_earnings,efficiency,a_coop_rate,b_coop_rate,mutual_coop_rounds,mutual_defect_rounds,a_exploit_rounds,b_exploit_rounds,a_first_defect_round,b_first_defect_round,a_endgame_defects,b_endgame_defects,full_coop
pre_fix,0,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,1,8,18,26,0.43333333333333335,0.2,0.0,0,8,0,2,2,1,3,3,False
pre_fix,2,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,3,14,24,38,0.6333333333333333,0.4,0.2,0,4,2,4,1,2,1,3,False
pre_fix,4,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,5,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,6,24,19,43,0.7166666666666667,0.4,0.5,2,3,3,2,1,2,2,1,False
pre_fix,7,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,8,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,9,7,22,29,0.48333333333333334,0.3,0.0,0,7,0,3,2,1,2,3,False
pre_fix,10,7,22,29,0.48333333333333334,0.3,0.0,0,7,0,3,2,1,2,3,False
pre_fix,11,12,27,39,0.65,0.5,0.2,1,4,1,4,1,2,2,3,False
pre_fix,12,7,22,29,0.48333333333333334,0.3,0.0,0,7,0,3,2,1,3,3,False
pre_fix,13,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,14,10,25,35,0.5833333333333334,0.4,0.1,0,5,1,4,1,2,2,3,False
pre_fix,15,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
pre_fix,16,8,18,26,0.43333333333333335,0.2,0.0,0,8,0,2,2,1,3,3,False
pre_fix,17,8,18,26,0.43333333333333335,0.2,0.0,0,8,0,2,2,1,3,3,False
pre_fix,18,30,30,60,1.0,1.0,1.0,10,0,0,0,0,0,0,0,True
