condition,sim_id,a_total_earnings,b_total_earnings,joint_earnings,efficiency,a_coop_rate,b_coop_rate,avg_coop_rate,mutual_coop_rounds,mutual_defect_rounds,full_coop,a_punishment_rate,b_punishment_rate,total_punishments
baseline,0,25,10,35,0.5833333333333334,0.1,0.4,0.25,0,5,False,0.0,0.0,0
baseline,1,8,18,26,0.43333333333333335,0.2,0.0,0.1,0,8,False,0.0,0.0,0
baseline,2,21,11,32,0.5333333333333333,0.1,0.3,0.2,0,6,False,0.0,0.0,0
baseline,3,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,4,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,5,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,6,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,7,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,8,10,25,35,0.5833333333333334,0.4,0.1,0.25,0,5,False,0.0,0.0,0
baseline,9,7,22,29,0.48333333333333334,0.3,0.0,0.15,0,7,False,0.0,0.0,0
baseline,10,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,11,12,17,29,0.48333333333333334,0.2,0.1,0.15000000000000002,0,7,False,0.0,0.0,0
baseline,12,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,13,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,14,25,10,35,0.5833333333333334,0.1,0.4,0.25,0,5,False,0.0,0.0,0
baseline,15,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,16,19,19,38,0.6333333333333333,0.4,0.4,0.4,3,5,False,0.0,0.0,0
baseline,17,12,27,39,0.65,0.5,0.2,0.35,1,4,False,0.0,0.0,0
baseline,18,21,11,32,0.5333333333333333,0.1,0.3,0.2,0,6,False,0.0,0.0,0
baseline,19,19,14,33,0.55,0.2,0.3,0.25,1,6,False,0.0,0.0,0
baseline,20,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,21,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,22,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,23,21,21,42,0.7,0.5,0.5,0.5,4,4,False,0.0,0.0,0
baseline,24,30,30,60,1.0,1.0,1.0,1.0,10,0,True,0.0,0.0,0
baseline,25,28,28,56,0.9333333333333333,0.9,0.9,0.9,9,1,False,0.0,0.0,0
baseline,26,21,11,32,0.5333333333333333,0.1,0.3,0.2,0,6,False,0.0,0.0,0
baseline,27,18,18,36,0.6,0.3,0.3,0.3,1,5,False,0.0,0.0,0
