sim_id,condition,competition_size,round,human_valuation,valuation_category,human_bid,bid_valuation_ratio,overbid,ai_valuation,ai_bid,ai_bid_correct,second_price,winner,human_earned,ai_earned,npc_valuation,npc_bid
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,1,3.0,low,3.0,1.0,0,7.0,7.0,True,3.0,AI,0.0,4.0,,
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,2,8.0,high,8.0,1.0,0,4.0,4.0,True,4.0,Human,4.0,0.0,,
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,3,4.0,low,4.0,1.0,0,6.0,6.0,True,4.0,AI,0.0,2.0,,
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,4,9.0,high,9.0,1.0,0,3.0,3.0,True,3.0,Human,6.0,0.0,,
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,5,3.0,low,3.0,1.0,0,8.0,8.0,True,3.0,AI,0.0,5.0,,
vickrey_2bidder_2026-02-13_14-13-43_sim1,vickrey_2bidder,2,6,7.0,high,7.0,1.0,0,5.0,5.0,True,5.0,Human,2.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,1,3.0,low,3.0,1.0,0,7.0,7.0,True,3.0,AI,0.0,4.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,2,8.0,high,8.0,1.0,0,4.0,4.0,True,4.0,Human,4.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,3,4.0,low,4.0,1.0,0,6.0,6.0,True,4.0,AI,0.0,2.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,4,9.0,high,9.0,1.0,0,3.0,3.0,True,3.0,Human,6.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,5,3.0,low,3.0,1.0,0,8.0,8.0,True,3.0,AI,0.0,5.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim1,vickrey_2bidder,2,6,7.0,high,7.0,1.0,0,5.0,5.0,True,5.0,Human,2.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,1,3.0,low,3.0,1.0,0,7.0,7.0,True,3.0,AI,0.0,4.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,2,8.0,high,8.0,1.0,0,4.0,4.0,True,4.0,Human,4.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,3,4.0,low,4.0,1.0,0,6.0,6.0,True,4.0,AI,0.0,2.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,4,9.0,high,9.0,1.0,0,3.0,3.0,True,3.0,Human,6.0,0.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,5,3.0,low,3.0,1.0,0,8.0,8.0,True,3.0,AI,0.0,5.0,,
vickrey_2bidder_2026-02-13_14-28-53_sim2,vickrey_2bidder,2,6,7.0,high,7.0,1.0,0,5.0,5.0,True,5.0,Human,2.0,0.0,,
