sim_id,condition,competition_size,round,human_valuation,valuation_category,human_bid,bid_valuation_ratio,nash_ratio,nash_bid,overbid_gap,overbid_vs_valuation,ai_valuation,ai_bid,ai_bid_expected,ai_bid_correct,winner,human_earned,ai_earned,npc_valuation,npc_bid,npc_bid_expected
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,1,3.0,low,1.5,0.5,0.5,1.5,0.0,0,7.0,3.5,3.5,True,AI,0.0,3.5,,,
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,2,8.0,high,4.0,0.5,0.5,4.0,0.0,0,4.0,2.0,2.0,True,Human,4.0,0.0,,,
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,3,4.0,low,2.0,0.5,0.5,2.0,0.0,0,6.0,3.0,3.0,True,AI,0.0,3.0,,,
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,4,9.0,high,4.5,0.5,0.5,4.5,0.0,0,3.0,1.5,1.5,True,Human,4.5,0.0,,,
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,5,3.0,low,2.5,0.8333,0.5,1.5,0.3333,0,8.0,4.0,4.0,True,AI,0.0,4.0,,,
auction_2bidder_2026-02-13_15-39-55_sim1,auction_2bidder,2,6,7.0,high,4.5,0.6429,0.5,3.5,0.1429,0,5.0,2.5,2.5,True,Human,2.5,0.0,,,
auction_2bidder_2026-02-13_17-40-04_sim1,auction_2bidder,2,1,3.0,low,1.5,0.5,0.5,1.5,0.0,0,7.0,3.5,3.5,True,AI,0.0,3.5,,,
auction_2bidder_2026-02-13_17-40-04_sim1,auction_2bidder,2,2,8.0,high,5.5,0.6875,0.5,4.0,0.1875,0,4.0,2.0,2.0,True,Human,2.5,0.0,,,
auction_2bidder_2026-02-13_17-40-04_sim1,auction_2bidder,2,3,4.0,low,2.0,0.5,0.5,2.0,0.0,0,6.0,3.0,3.0,True,AI,0.0,3.0,,,
auction_2bidder_2026-02-13_17-40-04_sim1,auction_2bidder,2,4,9.0,high,4.5,0.5,0.5,4.5,0.0,0,3.0,1.5,1.5,True,Human,4.5,0.0,,,
